1	870	0	8054	34106	43030	No	NA
2	100	0	1951	26142	28093	No	NA
3	0	0	1568	18075	19643	No	NA
4	0	0	2715	43570	46285	No	NA
5	0	0	1568	17857	19425	No	NA
6	0	0	1926	14891	16817	No	NA
7	0	0	0	0	0	0	NA
8	330	0	1677	20400	22407	No	N/A
9	0	0	62308	32355	94663	No	N/A
10	0	0	1188	67734	68922	No	N/A
11	0	0	2532	70164	72696	No	N/A
12	0	0	0	0	0	0	N/A
13	0	0	1113	50844	51957	No 	N/A
14	0	6000	0	25892	31892	No	N/A
15	0	6000	0	0	6000	No	N/A
16	0	6000	0	36850	42850	No	N/A
17	0	6000	0	36600	42600	No	N/A
18	0	6500	8700	50934	66134	No	N/A
19	0	9713	8700	40648	59061	No	N/A
20	0	3000	0	0	3000	No	N/A
21	0	3000	0	0	3000	0	N/A
22	1070	0	8054	27285	36409	No 	N/A
23	290	0	0	34350	34640	No	N/A
24	180	0	3395	16013	19588	No 	N/A
25	180	0	3395	17175	20750	No	N/A
26	930	0	3337	42492	46759	No	N/A
27	2940	0	6342	100207	109489	No	N/A
28	5860	0	0	83475	89335	No	N/A
29	4300	0	0	62700	67000	No	N/A
30	490	0	0	51038	51528	No	N/A
31	2830	0	0	51038	53868	No	N/A
32	0	0	0	2847	2847	No	N/A
33	18950	0	0	43800	62750	No	N/A
34	10990	0	65700	65700	142390	No	N/A
35	670	0	0	15900	16570	No	N/A
36	920	0	0	44550	45470	No	N/A
37	7970	0	0	68700	76670	No	N/A
38	5910	0	0	43800	49710	No	N/A
39	3820	0	0	27825	31645	No	N/A
40	0	0	0	0	0	No	N/A
41	2630	0	0	29235	31865	No	N/A
42	410	0	0	0	410	No	N/A
43	0	0	0	4580	4580	No	N/A
44	0	0	0	0	0	0	N/A
45	2580	0	0	0	2580	0	N/A
46	0	0	0	0	0	No	N/A
47	0	0	0	0	0	No	N/A
48	0	0	0	0	0	No	N/A
49	0	0	0	1560	1560	No	N/A
50	0	0	0	1560	1560	No	N/A
51	0	0	0	3120	3120	No	N/A
52	0	0	0	4680	4680	No	N/A
53	0	0	0	4680	4680	No	N/A
54	0	0	0	4680	4680	No	N/A
55	0	0	0	4680	4680	No	N/A
56	0	0	0	4680	4680	No	N/A
57	0	0	0	1560	1560	No	N/A
58	0	0	0	3120	3120	No	N/A
59	0	0	0	0	0	Yes	0
60	0	0	25000	0	25000	No	N/A
61	4090	0	0	0	4090	No	N/A
62	0	6000	0	0	6000	No	N/A
63	0	6000	0	0	6000	No	N/A
64	0	0	0	0	0	0	N/A
65	0	0	0	0	0	0	N/A
66	0	0	0	0	0	0	N/A
67	0	0	0	0	0	No	N/A
68	0	0	521	17060	17581	No	N/A
69	0	0	1200	16186	17386	No	N/A
70	0	0	1901	28488	30389	No	N/A
71	0	0	0	0	0	0	N/A
72	0	0	0	0	0	0	N/A
73	0	0	0	0	0	0	N/A
74	0	0	0	0	0	0	N/A
75	390	0	0	13432	13822	No	N/A
76	180	0	23400	23400	46980	No	N/A
77	1680	0	31707	31707	65094	No	N/A
78	0	0	0	188100	188100	No	N/A
79	590	0	7093	48600	56283	No	N/A
80	480	0	7844	99672	107996	No	N/A
81	4300	0	0	94050	98350	No	N/A
82	370	0	13432	13432	27234	No	N/A
83	10160	0	0	77156	87316	No	N/A
84	6100	0	0	62280	68380	No	N/A
85	170	0	0	36225	36395	No	N/A
86	590	0	0	15315	15905	No	N/A
87	0	0	0	188100	188100	No	N/A
88	0	0	1374	21043	22417	No	N/A
89	0	0	2300	63129	65429	0	N/A
